Occupation code,Occupation title ,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
25-1020,"Math and Computer Teachers, Postsecondary",broad,"83,690",1.3%,0.578,(4),(4),"$90,650",1.0%
25-1021,"Computer Science Teachers, Postsecondary",detail,"32,430",1.7%,0.224,(4),(4),"$96,200",1.2%
25-1022,"Mathematical Science Teachers, Postsecondary",detail,"51,250",1.3%,0.354,(4),(4),"$87,140",1.0%
25-1030,"Engineering and Architecture Teachers, Postsecondary",broad,"44,420",2.3%,0.307,(4),(4),"$111,450",1.4%
25-1031,"Architecture Teachers, Postsecondary",detail,"6,880",5.6%,0.048,(4),(4),"$99,320",3.5%
25-1032,"Engineering Teachers, Postsecondary",detail,"37,530",2.2%,0.259,(4),(4),"$113,680",1.4%
25-1040,"Life Sciences Teachers, Postsecondary",broad,"64,660",1.7%,0.447,(4),(4),"$96,110",1.0%
25-1041,"Agricultural Sciences Teachers, Postsecondary",detail,"10,810",3.7%,0.075,(4),(4),"$90,890",2.3%
25-1042,"Biological Science Teachers, Postsecondary",detail,"51,770",1.8%,0.358,(4),(4),"$97,340",1.4%
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detail,"2,070",6.2%,0.014,(4),(4),"$92,550",1.9%
25-1050,"Physical Sciences Teachers, Postsecondary",broad,"52,160",1.5%,0.360,(4),(4),"$97,280",1.0%
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detail,"11,020",3.7%,0.076,(4),(4),"$101,890",1.3%
25-1052,"Chemistry Teachers, Postsecondary",detail,"21,370",1.6%,0.148,(4),(4),"$92,360",0.9%
25-1053,"Environmental Science Teachers, Postsecondary",detail,"6,040",3.9%,0.042,(4),(4),"$91,330",1.9%
25-1054,"Physics Teachers, Postsecondary",detail,"13,730",1.8%,0.095,(4),(4),"$103,830",1.3%
25-1060,"Social Sciences Teachers, Postsecondary",broad,"117,510",1.3%,0.812,(4),(4),"$92,440",1.0%
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detail,"5,890",2.4%,0.041,(4),(4),"$94,080",1.5%
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detail,"9,850",3.3%,0.068,(4),(4),"$85,450",1.7%
25-1063,"Economics Teachers, Postsecondary",detail,"12,750",2.0%,0.088,(4),(4),"$117,180",1.4%
25-1064,"Geography Teachers, Postsecondary",detail,"3,960",3.4%,0.027,(4),(4),"$88,950",1.4%
25-1065,"Political Science Teachers, Postsecondary",detail,"15,890",1.7%,0.110,(4),(4),"$99,480",2.3%
25-1066,"Psychology Teachers, Postsecondary",detail,"37,630",2.2%,0.260,(4),(4),"$88,490",1.1%
25-1067,"Sociology Teachers, Postsecondary",detail,"13,870",1.9%,0.096,(4),(4),"$83,310",1.2%
25-1069,"Social Sciences Teachers, Postsecondary, All Other",detail,"17,670",2.6%,0.122,(4),(4),"$87,950",2.1%
25-1070,"Health Teachers, Postsecondary",broad,"255,190",2.0%,1.763,(4),(4),"$113,370",2.0%
25-1071,"Health Specialties Teachers, Postsecondary",detail,"199,480",2.4%,1.378,(4),(4),"$122,320",2.2%
25-1072,"Nursing Instructors and Teachers, Postsecondary",detail,"55,710",1.9%,0.385,(4),(4),"$81,350",2.0%
25-1080,"Education and Library Science Teachers, Postsecondary",broad,"65,570",1.7%,0.453,(4),(4),"$73,800",1.0%
25-1081,"Education Teachers, Postsecondary",detail,"60,930",1.7%,0.421,(4),(4),"$73,680",1.1%
25-1082,"Library Science Teachers, Postsecondary",detail,"4,650",4.0%,0.032,(4),(4),"$75,450",0.9%
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",broad,"44,500",2.8%,0.307,(4),(4),"$96,110",1.6%
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detail,"14,890",3.9%,0.103,(4),(4),"$72,390",1.6%
25-1112,"Law Teachers, Postsecondary",detail,"16,990",4.5%,0.117,(4),(4),"$130,710",2.0%
25-1113,"Social Work Teachers, Postsecondary",detail,"12,620",3.7%,0.087,(4),(4),"$77,520",1.9%
25-1120,"Arts, Communications, and Humanities Teachers, Postsecondary",broad,"260,960",1.4%,1.803,(4),(4),"$80,670",0.9%
25-1121,"Art, Drama, and Music Teachers, Postsecondary",detail,"94,310",2.1%,0.652,(4),(4),"$82,560",1.3%
25-1122,"Communications Teachers, Postsecondary",detail,"29,100",1.8%,0.201,(4),(4),"$78,090",1.2%
25-1123,"English Language and Literature Teachers, Postsecondary",detail,"68,360",1.5%,0.472,(4),(4),"$78,150",1.0%
25-1124,"Foreign Language and Literature Teachers, Postsecondary",detail,"25,590",2.2%,0.177,(4),(4),"$79,160",1.1%
25-1125,"History Teachers, Postsecondary",detail,"20,510",1.7%,0.142,(4),(4),"$83,990",1.0%
25-1126,"Philosophy and Religion Teachers, Postsecondary",detail,"23,100",3.2%,0.160,(4),(4),"$82,420",1.3%
25-1190,Miscellaneous Postsecondary Teachers,broad,"444,210",1.6%,3.069,(4),(4),"$60,200",1.4%
25-1191,Graduate Teaching Assistants,detail,"131,490",3.3%,0.908,(4),(4),"$36,390",2.0%
25-1192,"Home Economics Teachers, Postsecondary",detail,"2,080",5.0%,0.014,(4),(4),"$77,170",2.3%
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detail,"16,490",1.9%,0.114,(4),(4),"$72,190",1.5%
25-1194,"Vocational Education Teachers, Postsecondary",detail,"110,400",1.7%,0.763,$25.54,$28.14,"$58,520",0.7%
25-1199,"Postsecondary Teachers, All Other",detail,"183,750",3.4%,1.270,(4),(4),"$76,990",1.6%
25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",minor,"4,193,290",0.6%,28.973,(4),(4),"$59,980",0.6%
25-2010,Preschool and Kindergarten Teachers,broad,"555,680",1.1%,3.839,$16.33,$19.26,"$40,070",1.0%
25-2011,"Preschool Teachers, Except Special Education",detail,"424,520",1.3%,2.933,$14.32,$16.54,"$34,410",1.5%
25-2012,"Kindergarten Teachers, Except Special Education",detail,"131,160",1.7%,0.906,(4),(4),"$58,370",0.7%
25-2020,Elementary and Middle School Teachers,broad,"2,032,880",0.6%,14.046,(4),(4),"$62,150",0.6%
25-2021,"Elementary School Teachers, Except Special Education",detail,"1,410,970",0.8%,9.749,(4),(4),"$62,200",0.7%
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detail,"609,970",1.4%,4.214,(4),(4),"$62,030",0.6%
25-2023,"Career/Technical Education Teachers, Middle School",detail,"11,940",7.9%,0.083,(4),(4),"$62,570",1.5%
25-2030,Secondary School Teachers,broad,"1,129,040",1.3%,7.801,(4),(4),"$64,230",0.5%
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detail,"1,051,570",1.2%,7.266,(4),(4),"$64,340",0.5%
25-2032,"Career/Technical Education Teachers, Secondary School",detail,"77,460",3.9%,0.535,(4),(4),"$62,810",0.7%
25-2050,Special Education Teachers,broad,"475,700",1.0%,3.287,(4),(4),"$63,890",0.9%
25-2051,"Special Education Teachers, Preschool",detail,"23,480",4.5%,0.162,(4),(4),"$61,610",2.5%
25-2052,"Special Education Teachers, Kindergarten and Elementary School",detail,"185,190",1.3%,1.280,(4),(4),"$63,110",0.9%
25-2053,"Special Education Teachers, Middle School",detail,"87,870",2.2%,0.607,(4),(4),"$64,390",1.2%
25-2054,"Special Education Teachers, Secondary School",detail,"142,360",1.6%,0.984,(4),(4),"$65,320",1.0%
25-2059,"Special Education Teachers, All Other",detail,"36,800",3.8%,0.254,(4),(4),"$62,500",2.0%
25-3000,Other Teachers and Instructors,minor,"1,203,570",1.0%,8.316,$15.89,$19.35,"$40,250",0.7%
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detail,"57,750",7.4%,0.399,$25.79,$27.94,"$58,110",1.5%
25-3021,Self-Enrichment Education Teachers,detail,"243,080",1.5%,1.680,$18.62,$21.62,"$44,960",0.8%
25-3090,Miscellaneous Teachers and Instructors,broad,"902,740",1.1%,6.237,$14.83,$18.19,"$37,840",0.9%
25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detail,"315,510",1.5%,2.180,(4),(4),"$48,040",1.2%
25-3098,Substitute Teachers,detail,"587,240",1.5%,4.057,$13.79,$15.56,"$32,360",1.3%
25-4000,"Librarians, Curators, and Archivists",minor,"246,200",1.0%,1.701,$23.08,$24.66,"$51,290",0.5%
25-4010,"Archivists, Curators, and Museum Technicians",broad,"31,760",2.4%,0.219,$23.27,$25.61,"$53,280",0.9%
25-4011,Archivists,detail,"6,370",5.1%,0.044,$25.11,$27.12,"$56,400",1.5%
25-4012,Curators,detail,"12,280",3.4%,0.085,$25.86,$28.12,"$58,490",1.1%
25-4013,Museum Technicians and Conservators,detail,"13,100",3.3%,0.091,$20.68,$22.53,"$46,870",1.4%
25-4021,Librarians,detail,"125,750",1.0%,0.869,$28.39,$29.58,"$61,530",0.4%
25-4031,Library Technicians,detail,"88,690",1.5%,0.613,$16.37,$17.34,"$36,080",0.6%
25-9000,"Other Education, Training, and Library Occupations",minor,"1,619,610",0.5%,11.190,(4),(4),"$34,110",0.4%
25-9011,Audio-Visual and Multimedia Collections Specialists,detail,"9,540",2.6%,0.066,$23.85,$25.13,"$52,270",1.0%
25-9021,Farm and Home Management Advisors,detail,"8,020",5.7%,0.055,$23.96,$25.33,"$52,700",1.6%
25-9031,Instructional Coordinators,detail,"163,900",1.7%,1.132,$30.98,$32.45,"$67,490",0.5%
25-9041,Teacher Assistants,detail,"1,331,560",0.6%,9.200,(4),(4),"$28,750",0.4%
25-9099,"Education, Training, and Library Workers, All Other",detail,"106,590",1.7%,0.736,$20.23,$22.44,"$46,680",1.5%
27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"1,951,170",0.5%,13.481,$23.70,$28.74,"$59,780",0.5%
27-1000,Art and Design Workers,minor,"610,180",0.8%,4.216,$22.43,$26.55,"$55,230",0.6%
27-1010,Artists and Related Workers,broad,"90,990",2.0%,0.629,$36.34,$40.83,"$84,930",0.9%
27-1011,Art Directors,detail,"40,210",2.2%,0.278,$44.60,$50.29,"$104,590",0.8%
27-1012,Craft Artists,detail,"3,980",8.3%,0.027,$16.46,$19.47,"$40,490",2.3%
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detail,"11,620",5.6%,0.080,$23.74,$28.06,"$58,370",5.4%
27-1014,Multimedia Artists and Animators,detail,"28,560",3.9%,0.197,$34.87,$37.61,"$78,230",1.3%
27-1019,"Artists and Related Workers, All Other",detail,"6,620",6.9%,0.046,$31.44,$32.55,"$67,700",3.6%
27-1020,Designers,broad,"519,180",0.9%,3.587,$20.66,$24.05,"$50,020",0.5%
27-1021,Commercial and Industrial Designers,detail,"33,200",3.1%,0.229,$32.01,$34.34,"$71,430",0.9%
27-1022,Fashion Designers,detail,"19,750",4.1%,0.136,$34.96,$42.12,"$87,610",2.6%
27-1023,Floral Designers,detail,"43,360",2.3%,0.300,$13.08,$13.90,"$28,900",0.7%
27-1024,Graphic Designers,detail,"217,810",0.9%,1.505,$24.21,$26.29,"$54,680",0.4%
27-1025,Interior Designers,detail,"57,070",2.4%,0.394,$25.66,$28.42,"$59,120",1.2%
27-1026,Merchandise Displayers and Window Trimmers,detail,"128,960",2.9%,0.891,$13.68,$15.31,"$31,850",0.8%
27-1027,Set and Exhibit Designers,detail,"10,590",4.5%,0.073,$26.09,$29.34,"$61,020",1.8%
27-1029,"Designers, All Other",detail,"8,450",5.1%,0.058,$29.12,$32.99,"$68,610",2.4%
27-2000,"Entertainers and Performers, Sports and Related Workers",minor,"515,310",1.2%,3.560,$20.64,$28.80,"$59,900",1.0%
27-2010,"Actors, Producers, and Directors",broad,"166,060",2.2%,1.147,$29.40,$39.24,"$81,610",1.4%
27-2011,Actors,detail,"47,430",7.1%,0.328,$17.54,$29.34,(4),4.1%
27-2012,Producers and Directors,detail,"118,630",1.7%,0.820,$34.46,$43.19,"$89,840",1.2%
27-2020,"Athletes, Coaches, Umpires, and Related Workers",broad,"266,860",1.4%,1.844,(4),(4),"$45,080",1.0%
27-2021,Athletes and Sports Competitors,detail,"10,800",6.8%,0.075,(4),(4),"$87,030",4.6%
27-2022,Coaches and Scouts,detail,"236,970",1.5%,1.637,(4),(4),"$43,870",0.8%
27-2023,"Umpires, Referees, and Other Sports Officials",detail,"19,090",3.1%,0.132,(4),(4),"$36,440",4.2%
27-2030,Dancers and Choreographers,broad,"14,810",5.9%,0.102,$18.17,$22.44,"$46,670",2.6%
27-2031,Dancers,detail,"9,720",7.4%,0.067,$16.31,$20.70,(4),3.0%
27-2032,Choreographers,detail,"5,090",9.6%,0.035,$22.98,$25.75,"$53,560",3.6%
27-2040,"Musicians, Singers, and Related Workers",broad,"53,840",2.8%,0.372,$26.84,$35.53,(4),2.3%
27-2041,Music Directors and Composers,detail,"12,160",4.1%,0.084,$23.86,$28.75,"$59,790",2.8%
27-2042,Musicians and Singers,detail,"41,680",3.4%,0.288,$28.15,$37.51,(4),2.5%
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detail,"13,740",9.3%,0.095,$15.94,$21.53,(4),5.0%
27-3000,Media and Communication Workers,minor,"586,190",0.7%,4.050,$27.66,$31.72,"$65,980",0.4%
27-3010,Announcers,broad,"35,260",2.8%,0.244,$15.38,$23.54,"$48,960",1.8%
27-3011,Radio and Television Announcers,detail,"27,780",3.2%,0.192,$15.97,$24.82,"$51,630",2.0%
27-3012,Public Address System and Other Announcers,detail,"7,480",6.2%,0.052,$13.33,$18.77,"$39,040",3.5%
27-3020,"News Analysts, Reporters and Correspondents",broad,"43,030",2.5%,0.297,$20.91,$29.10,"$60,530",1.5%
27-3021,Broadcast News Analysts,detail,"5,890",8.9%,0.041,$32.15,$44.23,"$91,990",3.1%
27-3022,Reporters and Correspondents,detail,"37,140",2.4%,0.257,$19.84,$26.70,"$55,530",1.5%
27-3031,Public Relations Specialists,detail,"239,030",1.0%,1.652,$28.85,$32.90,"$68,440",0.6%
27-3040,Writers and Editors,broad,"191,320",1.1%,1.322,$30.53,$34.58,"$71,920",0.6%
27-3041,Editors,detail,"95,750",1.6%,0.662,$28.60,$33.41,"$69,480",0.8%
27-3042,Technical Writers,detail,"50,350",1.9%,0.348,$34.54,$36.30,"$75,500",0.7%
27-3043,Writers and Authors,detail,"45,210",2.1%,0.312,$29.89,$35.14,"$73,090",1.3%
27-3090,Miscellaneous Media and Communication Workers,broad,"77,560",3.1%,0.536,$23.84,$26.20,"$54,490",1.1%
27-3091,Interpreters and Translators,detail,"57,140",3.9%,0.395,$24.00,$26.55,"$55,230",1.4%
27-3099,"Media and Communication Workers, All Other",detail,"20,420",4.4%,0.141,$23.24,$25.21,"$52,430",2.2%
27-4000,Media and Communication Equipment Workers,minor,"239,490",1.5%,1.655,$22.24,$26.91,"$55,970",1.5%
27-4010,Broadcast and Sound Engineering Technicians and Radio Operators,broad,"121,890",2.1%,0.842,$20.98,$24.02,"$49,960",0.8%
27-4011,Audio and Video Equipment Technicians,detail,"75,940",2.2%,0.525,$21.04,$23.53,"$48,940",0.9%
27-4012,Broadcast Technicians,detail,"31,580",4.4%,0.218,$19.27,$22.48,"$46,770",1.3%
27-4013,Radio Operators,detail,870,7.6%,0.006,$20.30,$21.49,"$44,710",2.8%
27-4014,Sound Engineering Technicians,detail,"13,510",5.7%,0.093,$25.19,$30.53,"$63,500",2.1%
27-4021,Photographers,detail,"49,560",1.9%,0.342,$16.35,$20.56,"$42,770",1.5%
27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",broad,"49,240",2.8%,0.340,$28.36,$36.58,"$76,090",2.7%
27-4031,"Camera Operators, Television, Video, and Motion Picture",detail,"21,080",3.3%,0.146,$26.24,$29.69,"$61,750",2.0%
27-4032,Film and Video Editors,detail,"28,160",4.4%,0.195,$30.12,$41.75,"$86,830",3.7%
27-4099,"Media and Communication Equipment Workers, All Other",detail,"18,790",5.4%,0.130,$38.26,$37.06,"$77,080",1.6%
29-0000,Healthcare Practitioners and Technical Occupations,major,"8,646,730",0.3%,59.743,$31.94,$39.42,"$82,000",0.2%
29-1000,Health Diagnosing and Treating Practitioners,minor,"5,367,930",0.4%,37.088,$38.94,$49.02,"$101,960",0.3%
29-1011,Chiropractors,detail,"34,740",2.6%,0.240,$34.33,$41.28,"$85,870",2.0%
29-1020,Dentists,broad,"128,060",1.8%,0.885,$75.12,$86.82,"$180,590",1.1%
29-1021,"Dentists, General",detail,"113,000",2.0%,0.781,$73.00,$84.54,"$175,840",1.2%
29-1022,Oral and Maxillofacial Surgeons,detail,"4,830",9.1%,0.033,(5),$116.52,"$242,370",4.1%
29-1023,Orthodontists,detail,"5,350",9.0%,0.037,(5),$108.54,"$225,760",4.1%
29-1024,Prosthodontists,detail,380,28.3%,0.003,$84.88,$92.02,"$191,400",12.1%
29-1029,"Dentists, All Other Specialists",detail,"4,490",10.8%,0.031,$70.66,$85.96,"$178,800",4.7%
29-1031,Dietitians and Nutritionists,detail,"64,670",1.2%,0.447,$29.02,$29.43,"$61,210",0.3%
29-1041,Optometrists,detail,"37,220",2.5%,0.257,$53.75,$57.68,"$119,980",1.1%
29-1051,Pharmacists,detail,"309,550",1.1%,2.139,$60.64,$59.45,"$123,670",0.3%
29-1060,Physicians and Surgeons,broad,"679,280",1.0%,4.693,(5),$101.43,"$210,980",0.7%
29-1061,Anesthesiologists,detail,"31,060",5.6%,0.215,(5),$128.38,"$267,020",1.8%
29-1062,Family and General Practitioners,detail,"114,130",1.9%,0.789,$96.68,$101.82,"$211,780",1.0%
29-1063,"Internists, General",detail,"37,820",3.2%,0.261,$93.51,$94.47,"$196,490",2.8%
29-1064,Obstetricians and Gynecologists,detail,"18,590",4.0%,0.128,(5),$114.58,"$238,320",1.5%
29-1065,"Pediatricians, General",detail,"28,490",3.6%,0.197,$82.00,$88.10,"$183,240",1.5%
29-1066,Psychiatrists,detail,"25,630",3.9%,0.177,(5),$105.95,"$220,380",1.8%
29-1067,Surgeons,detail,"34,390",3.8%,0.238,(5),$122.65,"$255,110",1.5%
29-1069,"Physicians and Surgeons, All Other",detail,"389,180",1.4%,2.689,$96.58,$98.02,"$203,880",0.9%
29-1071,Physician Assistants,detail,"114,710",1.4%,0.793,$52.22,$52.13,"$108,430",0.4%
29-1081,Podiatrists,detail,"9,500",3.8%,0.066,$62.28,$71.26,"$148,220",2.0%
29-1120,Therapists,broad,"687,790",0.7%,4.752,$37.23,$38.24,"$79,530",0.2%
29-1122,Occupational Therapists,detail,"126,900",1.3%,0.877,$40.51,$41.04,"$85,350",0.3%
29-1123,Physical Therapists,detail,"228,600",1.0%,1.579,$42.27,$42.73,"$88,880",0.3%
29-1124,Radiation Therapists,detail,"18,260",2.8%,0.126,$39.58,$41.70,"$86,730",0.6%
29-1125,Recreational Therapists,detail,"18,840",2.5%,0.130,$23.01,$24.34,"$50,640",0.8%
29-1126,Respiratory Therapists,detail,"129,600",1.1%,0.895,$28.98,$30.05,"$62,500",0.3%
29-1127,Speech-Language Pathologists,detail,"146,900",1.3%,1.015,$37.26,$38.80,"$80,700",0.6%
29-1128,Exercise Physiologists,detail,"6,740",4.2%,0.047,$23.69,$26.33,"$54,760",2.7%
29-1129,"Therapists, All Other",detail,"11,950",5.3%,0.083,$24.51,$27.73,"$57,680",1.9%
29-1131,Veterinarians,detail,"71,060",1.4%,0.491,$45.11,$50.59,"$105,240",1.2%
29-1141,Registered Nurses,detail,"2,951,960",0.5%,20.396,$34.48,$36.30,"$75,510",0.3%
29-1151,Nurse Anesthetists,detail,"43,520",3.7%,0.301,$80.75,$84.03,"$174,790",0.9%
29-1161,Nurse Midwives,detail,"6,250",6.3%,0.043,$49.89,$51.40,"$106,910",1.2%
29-1171,Nurse Practitioners,detail,"179,650",1.2%,1.241,$51.46,$52.90,"$110,030",0.4%
29-1181,Audiologists,detail,"13,300",4.5%,0.092,$36.50,$39.52,"$82,210",1.8%
29-1199,"Health Diagnosing and Treating Practitioners, All Other",detail,"36,680",2.3%,0.253,$35.56,$41.16,"$85,600",4.4%
29-2000,Health Technologists and Technicians,minor,"3,110,180",0.3%,21.489,$21.49,$23.26,"$48,380",0.2%
29-2010,Clinical Laboratory Technologists and Technicians,broad,"321,220",1.0%,2.219,$25.16,$25.91,"$53,880",0.3%
29-2021,Dental Hygienists,detail,"215,150",1.2%,1.487,$35.97,$36.30,"$75,500",0.5%
29-2030,Diagnostic Related Technologists and Technicians,broad,"390,630",0.8%,2.699,$30.60,$31.38,"$65,260",0.2%
29-2031,Cardiovascular Technologists and Technicians,detail,"56,560",1.5%,0.391,$27.33,$28.24,"$58,730",0.5%
29-2032,Diagnostic Medical Sonographers,detail,"71,130",1.2%,0.491,$34.86,$35.51,"$73,860",0.3%
29-2033,Nuclear Medicine Technologists,detail,"18,810",1.4%,0.130,$36.93,$37.92,"$78,870",0.4%
29-2034,Radiologic Technologists,detail,"205,590",0.9%,1.420,$28.62,$29.59,"$61,540",0.3%
29-2035,Magnetic Resonance Imaging Technologists,detail,"38,540",2.1%,0.266,$34.46,$34.73,"$72,230",0.4%
29-2041,Emergency Medical Technicians and Paramedics,detail,"257,210",1.1%,1.777,$16.50,$18.15,"$37,760",0.8%
29-2050,Health Practitioner Support Technologists and Technicians,broad,"801,590",0.6%,5.538,$16.70,$17.76,"$36,930",0.3%
29-2051,Dietetic Technicians,detail,"33,540",2.7%,0.232,$13.05,$14.49,"$30,130",0.7%
29-2052,Pharmacy Technicians,detail,"417,860",0.8%,2.887,$15.72,$16.35,"$34,020",0.3%
29-2053,Psychiatric Technicians,detail,"71,360",1.5%,0.493,$15.80,$18.15,"$37,760",1.6%
29-2054,Respiratory Therapy Technicians,detail,"9,090",3.3%,0.063,$24.62,$24.70,"$51,380",0.9%
29-2055,Surgical Technologists,detail,"110,160",1.1%,0.761,$22.74,$23.58,"$49,040",0.3%
29-2056,Veterinary Technologists and Technicians,detail,"106,680",1.8%,0.737,$16.55,$17.10,"$35,560",0.5%
29-2057,Ophthalmic Medical Technicians,detail,"52,890",3.0%,0.365,$17.56,$18.38,"$38,220",0.7%
29-2061,Licensed Practical and Licensed Vocational Nurses,detail,"701,690",0.7%,4.848,$22.23,$22.62,"$47,050",0.2%
29-2071,Medical Records and Health Information Technicians,detail,"208,650",1.0%,1.442,$19.40,$21.16,"$44,010",0.4%
29-2081,"Opticians, Dispensing",detail,"72,250",2.2%,0.499,$17.80,$19.20,"$39,930",1.0%
29-2090,Miscellaneous Health Technologists and Technicians,broad,"141,790",1.5%,0.980,$21.43,$23.82,"$49,540",0.5%
29-2091,Orthotists and Prosthetists,detail,"8,830",4.7%,0.061,$33.23,$35.51,"$73,860",2.0%
29-2092,Hearing Aid Specialists,detail,"7,680",6.8%,0.053,$25.37,$26.75,"$55,650",2.2%
29-2099,"Health Technologists and Technicians, All Other",detail,"125,270",1.6%,0.866,$20.63,$22.81,"$47,450",0.5%
29-9000,Other Healthcare Practitioners and Technical Occupations,minor,"168,630",0.9%,1.165,$30.01,$32.01,"$66,590",0.3%
29-9010,Occupational Health and Safety Specialists and Technicians,broad,"106,410",0.9%,0.735,$33.35,$34.43,"$71,610",0.3%
29-9011,Occupational Health and Safety Specialists,detail,"88,390",1.0%,0.611,$35.11,$36.03,"$74,940",0.3%
29-9012,Occupational Health and Safety Technicians,detail,"18,020",1.9%,0.125,$24.41,$26.57,"$55,270",0.7%
29-9090,Miscellaneous Health Practitioners and Technical Workers,broad,"62,210",1.7%,0.430,$24.35,$27.89,"$58,000",1.0%
29-9091,Athletic Trainers,detail,"26,890",2.9%,0.186,(4),(4),"$49,280",0.8%
29-9092,Genetic Counselors,detail,"2,640",7.4%,0.018,$38.64,$38.88,"$80,860",1.6%
29-9099,"Healthcare Practitioners and Technical Workers, All Other",detail,"32,680",2.2%,0.226,$26.26,$30.45,"$63,340",1.5%
31-0000,Healthcare Support Occupations,major,"4,117,450",0.4%,28.449,$14.30,$15.57,"$32,380",0.2%
31-1010,"Nursing, Psychiatric, and Home Health Aides",broad,"2,355,640",0.6%,16.276,$12.89,$13.55,"$28,180",0.3%
31-1011,Home Health Aides,detail,"797,670",1.4%,5.511,$11.63,$12.18,"$25,330",0.4%
31-1013,Psychiatric Aides,detail,"56,910",2.0%,0.393,$14.03,$14.95,"$31,090",1.0%
31-1014,Nursing Assistants,detail,"1,450,960",0.5%,10.025,$13.72,$14.22,"$29,580",0.2%
31-1015,Orderlies,detail,"50,100",2.2%,0.346,$13.49,$14.35,"$29,840",0.6%
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,minor,"191,870",1.3%,1.326,$24.86,$24.10,"$50,130",0.5%
31-2010,Occupational Therapy Assistants and Aides,broad,"50,360",2.2%,0.348,$27.70,$27.00,"$56,150",1.0%
31-2011,Occupational Therapy Assistants,detail,"42,660",2.2%,0.295,$28.95,$29.04,"$60,410",0.6%
31-2012,Occupational Therapy Aides,detail,"7,700",6.0%,0.053,$13.54,$15.66,"$32,580",4.0%
31-2020,Physical Therapist Assistants and Aides,broad,"141,510",1.3%,0.978,$23.12,$23.07,"$47,980",0.5%
31-2021,Physical Therapist Assistants,detail,"94,250",1.4%,0.651,$27.91,$27.77,"$57,750",0.5%
31-2022,Physical Therapist Aides,detail,"47,260",2.4%,0.327,$12.62,$13.70,"$28,500",0.8%
31-9000,Other Healthcare Support Occupations,minor,"1,569,940",0.5%,10.847,$16.75,$17.55,"$36,500",0.2%
31-9011,Massage Therapists,detail,"105,160",2.9%,0.727,$19.92,$22.06,"$45,880",1.2%
31-9090,Miscellaneous Healthcare Support Occupations,broad,"1,464,780",0.5%,10.121,$16.63,$17.23,"$35,830",0.2%
31-9091,Dental Assistants,detail,"341,060",0.9%,2.356,$18.59,$19.12,"$39,770",0.4%
31-9092,Medical Assistants,detail,"673,660",0.7%,4.655,$16.16,$16.61,"$34,540",0.2%
31-9093,Medical Equipment Preparers,detail,"55,610",1.6%,0.384,$17.42,$18.27,"$37,990",0.4%
31-9094,Medical Transcriptionists,detail,"53,730",3.1%,0.371,$16.72,$17.48,"$36,350",1.3%
31-9095,Pharmacy Aides,detail,"36,970",4.2%,0.255,$12.72,$14.03,"$29,190",1.2%
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detail,"89,480",2.2%,0.618,$13.24,$13.79,"$28,690",0.6%
31-9097,Phlebotomists,detail,"125,280",1.4%,0.866,$16.58,$17.10,"$35,560",0.3%
31-9099,"Healthcare Support Workers, All Other",detail,"88,990",1.7%,0.615,$18.19,$18.80,"$39,110",0.6%
33-0000,Protective Service Occupations,major,"3,437,410",0.4%,23.750,$19.54,$23.36,"$48,580",0.6%
33-1000,Supervisors of Protective Service Workers,minor,"304,940",0.6%,2.107,$33.92,$36.72,"$76,380",0.7%
33-1010,First-Line Supervisors of Law Enforcement Workers,broad,"160,410",0.4%,1.108,$39.35,$41.51,"$86,350",0.7%
33-1011,First-Line Supervisors of Correctional Officers,detail,"43,760",0.5%,0.302,$30.45,$32.86,"$68,350",0.7%
33-1012,First-Line Supervisors of Police and Detectives,detail,"116,660",0.5%,0.806,$42.80,$44.76,"$93,100",0.6%
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,detail,"65,920",0.9%,0.455,$36.70,$38.61,"$80,310",0.7%
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",detail,"78,610",2.0%,0.543,$23.87,$25.35,"$52,730",0.9%
33-2000,Fire Fighting and Prevention Workers,minor,"336,230",0.9%,2.323,$24.04,$25.78,"$53,630",0.9%
33-2011,Firefighters,detail,"321,570",0.9%,2.222,$23.85,$25.60,"$53,240",0.9%
33-2020,Fire Inspectors,broad,"14,660",2.9%,0.101,$28.94,$29.82,"$62,030",1.1%
